Index,Day,Month,Year,Initials,SVL,VT,R,Weight,Sex,Page,Comments,PredictedMass,CorrectedMass,FinalMass,,
14240,28,2,1972,IC,239,253,C,548,M,31,,452.4266577,551.7398264,548,,
14336,6,11,1949,WD,254,89,C,652,,31,,609.3894455,743.1578604,652,,
14337,6,2,1972,IC,275,311,C,619.5,M,31,,505.4335921,616.3824294,619.5,,
15328,12,11,1971,IC,202,214,C,265,F,31,,218.7531034,266.7720773,265,,
16384,6,11,1949,WD,197,165,C,312,,32,,267.319826,325.9997878,312,,
16409,20,2,1972,IC,205,203,C,291,F,32,,242.9840145,296.3219688,291,,
16413,20,2,1972,IC,217,252,C,362,F?,32,,293.8924569,358.4054352,362,,
17184,7,2,1972,IC,160,173,C,124.5,J,32,,102.4041947,124.8831643,124.5,,
17425,6,11,1949,WD,267,292,C,794,M,32,,651.7590544,794.8281151,794,,
17437,6,11,1949,WD,210,248,C,496,F,32,,401.4027173,489.5155088,496,,
17438,3,12,1986,AC,224,252,C,386,F,33,0 eggs,315.230421,384.4273427,386,,
17438,3,12,1987,AC,244,255,C,330,F,33,0 eggs,273.053822,332.9924658,330,,
17438,6,2,1992,AC,235,252,C,380,F,33,3 eggs,313.0167489,381.7277426,380,,
17439,6,11,1949,WD,267,260,C,865,,33,,724.2586412,883.2422454,865,,
17440,6,11,1949,WD,190,222,C,383,,33,,310.582663,378.7593451,383,,
17456,,3,1988,MEM,128.3,152,C,104.03,J,33,,84.13812473,102.6074692,104.03,,
17468,,2,1988,MEM,47.6,52,C,4.71,J,33,,3.866985727,4.715836253,4.71,,
17473,6,8,1992,AC,179,177,C,230,M,33,,192.0945799,234.2616828,230,,
17728,28,2,1971,IC,231,263,C,450,F,34,,366.6881761,447.1807025,450,,
17937A,18,2,1989,MEM,76,80,C,19.3,J,34,,15.9496287,19.45076671,19.3,,
17945,17,2,1989,MEM,123,139,C,70.04,J,34,,57.15147787,69.69692423,70.04,,
17945B,18,2,1989,MEM,82,86,C,18.11,J,34,,14.9757171,18.26306963,18.11,,
