"","x"
"179",0
"180",0
"181",4.40000009536743
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",40.5
"191",6.59999990463257
"192",0
"193",0
"194",9.10000038146973
"195",0
"196",0
"197",0
"198",4.59999990463257
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",1.20000004768372
"211",15
"212",1.60000002384186
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",3.09999990463257
"222",21
"223",4.59999990463257
"224",7.59999990463257
"225",6.5
"226",0
"227",0
"228",0
"229",0
"230",5.40000009536743
"231",2.09999990463257
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",6.80000019073486
"239",12.3999996185303
"240",0
"241",0
"242",0
"243",0
"244",0
"245",1.60000002384186
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",5.19999980926514
"254",32.2000007629395
"255",1.70000004768372
"256",0
"257",0
"258",0
"259",5.30000019073486
"260",17.1000003814697
"261",0
"262",0
"263",0
"264",0
"265",2.09999990463257
"266",3.59999990463257
"267",0
"268",0
"269",2.29999995231628
"270",8.89999961853027
"271",0
"272",5.40000009536743
"273",7.59999990463257
"274",0
"275",0
"276",14
"277",41.2000007629395
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",11.8000001907349
"288",0
"289",0
"290",2.20000004768372
"291",0
"292",0
"293",1.60000002384186
"294",2
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",3.90000009536743
"312",0
"313",3.40000009536743
"314",0
"315",0
"316",0
"317",0
"318",0
"319",12.6999998092651
"320",0
"321",8.60000038146973
"322",2.79999995231628
"323",0
"324",0
"325",0
"326",0
"327",0
"328",1.39999997615814
"329",0
"330",0
"331",0
"332",2.79999995231628
"333",0
"334",10.8999996185303
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",18.2000007629395
"350",3.29999995231628
"351",0
"352",0
"353",4.19999980926514
"354",12.1999998092651
"355",0
"356",0
"357",0
"358",17.6000003814697
"359",0
"360",0
"361",0
"362",4.40000009536743
"363",6.40000009536743
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",3.20000004768372
"372",0
"373",0
"374",9.5
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",14.8000001907349
"382",0
"383",0
"384",0
"385",0
"386",0
"387",18.7000007629395
"388",2.5
"389",4.30000019073486
"390",0
"391",0
"392",3.29999995231628
"393",23.3999996185303
"394",2.29999995231628
"395",0
"396",0
"397",1.70000004768372
"398",6.90000009536743
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",1.20000004768372
"410",0
"411",0
"412",6.40000009536743
"413",1.60000002384186
"414",2.5
"415",0
"416",3.09999990463257
"417",2.09999990463257
"418",1.60000002384186
"419",30.2999992370605
"420",5.5
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",4.80000019073486
"430",0
"431",0
"432",0
"433",0
"434",25
"435",14.3000001907349
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",12.1999998092651
"453",0
"454",0
"455",4.80000019073486
"456",5.30000019073486
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
